OGS2	OGS1	Apyrene	Eupyrene	AE	Uniprot_Function	X	Manduca_Sperm	Dmel_Spermo	Function	Manduca_homolog	Dmel_homologs
DPOGS203451	DPOGS100064	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00064	NA	NA
DPOGS203469	DPOGS109764	FALSE	TRUE	TRUE	Putative NADH:ubiquinone dehydrogenase	NA	NA	NA	nadh:ubiquinone dehydrogenase	NA	NA
DPOGS203490	DPOGS122709	FALSE	TRUE	TRUE	V-type proton ATPase catalytic subunit A	0.5	Msex2.07462	NA	v-type proton atpase catalytic subunit a	NA	FBgn0263598
DPOGS203491	DPOGS122710	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_22710	Msex2.07463	NA
DPOGS203525	DPOGS121841	FALSE	TRUE	TRUE	Sperm-specific sodium proton exchanger	NA	NA	NA	sperm-specific sodium proton exchanger	Msex2.04911	FBgn0040297
DPOGS203536	DPOGS105662	FALSE	TRUE	FALSE	Putative NADH dehydrogenase	1	Msex2.10927	NA	nadh dehydrogenase	NA	FBgn0034645
DPOGS203597	DPOGS120972	TRUE	TRUE	TRUE	NADH dehydrogenase	1	Msex2.01138	FBgn0021967	nadh dehydrogenase	NA	NA
DPOGS203603	DPOGS106253	FALSE	TRUE	TRUE	NA	1	Msex2.01151	NA	solute carrier family 13 member 2-like	NA	FBgn0036816
DPOGS203605	DPOGS106257	FALSE	TRUE	TRUE	Putative coiled-coil domain-containing protein	NA	NA	NA	coiled-coil domain-containing protein	Msex2.01155	NA
DPOGS203616	DPOGS106251	FALSE	TRUE	TRUE	Putative sodium/dicarboxylate cotransporter	NA	NA	NA	protein i m not dead yet-like	NA	FBgn0036816
DPOGS203617	DPOGS106252	TRUE	TRUE	TRUE	Uncharacterized protein	0.333	Msex2.01152	NA	hypothetical protein KGM_06252	NA	FBgn0036816
DPOGS203626	DPOGS111132	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13998	NA	hypothetical protein KGM_11132	NA	NA
DPOGS203629	DPOGS114983	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.05958	NA	hypothetical protein KGM_14983	NA	NA
DPOGS203644	DPOGS100637	FALSE	TRUE	TRUE	Sui m 6 allergen	1	Msex2.13476	NA	sui m 6 allergen	NA	FBgn0037677
DPOGS203648	DPOGS100641	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00641	Msex2.06486	NA
DPOGS203649	DPOGS105204	FALSE	TRUE	FALSE	Putative integrator complex subunit 6	NA	NA	NA	integrator complex subunit 6	Msex2.06482	FBgn0261383
DPOGS203653	DPOGS115281	FALSE	TRUE	TRUE	C-type lectin 8	NA	NA	NA	c-type lectin 8	Msex2.07890	FBgn0053532
DPOGS203655	DPOGS104229	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_04229	Msex2.07886	FBgn0031859
DPOGS203656	DPOGS104230	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_04230	Msex2.07884	NA
DPOGS203677	DPOGS104623	FALSE	TRUE	TRUE	Casein kinase II alpha subunit	1	Msex2.00235	NA	casein kinase ii alpha subunit	NA	FBgn0264492
DPOGS203703	DPOGS101860	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01860	NA	NA
DPOGS203712	DPOGS116601	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS203718	DPOGS122352	TRUE	TRUE	TRUE	Putative NADH dehydrogenase	1	Msex2.13302	NA	nadh dehydrogenase	NA	FBgn0030853
DPOGS203720	DPOGS121574	TRUE	FALSE	FALSE	Putative PDZ domain containing 3	NA	NA	NA	pdz domain containing 3	Msex2.10052	FBgn0000008
DPOGS203765	DPOGS111018	TRUE	TRUE	FALSE	Apolipophorins	0.333	Msex2.09436	FBgn0087002	Apolipophorins	NA	NA
DPOGS203778	DPOGS105253	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07006	NA	hypothetical protein KGM_05253	NA	FBgn0032010
DPOGS203779	DPOGS105256	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05256	NA	NA
DPOGS203783	DPOGS120883	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.12196	NA	hypothetical protein KGM_20883	NA	FBgn0038531
DPOGS203785	DPOGS121571	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21571	NA	FBgn0037726
DPOGS203786	DPOGS121572	TRUE	TRUE	TRUE	Dynein heavy chain	0.333	Msex2.10051	FBgn0001314	dynein heavy chain	NA	FBgn0037726
DPOGS203787	DPOGS122349	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.11546	NA	hypothetical protein KGM_22349	NA	FBgn0266582
DPOGS203796	DPOGS101870	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00198	FBgn0034745	hypothetical protein KGM_01870	NA	NA
DPOGS203806	DPOGS117748	TRUE	TRUE	TRUE	Uncharacterized protein	0.25	Msex2.00212	NA	hypothetical protein KGM_17748	Msex2.00213	FBgn0085486
DPOGS203839	DPOGS115238	FALSE	FALSE	TRUE	Putative septin	NA	NA	NA	putative septin	Msex2.07881	FBgn0013726
DPOGS203840	DPOGS104228	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07885	NA	hypothetical protein KGM_04228	NA	NA
DPOGS203842	DPOGS115285	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_15285	NA	NA
DPOGS203862	DPOGS107112	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_07112	Msex2.02545	FBgn0022097
DPOGS203863	DPOGS109295	FALSE	FALSE	TRUE	Vacuolar ATP synthase subunit D	NA	NA	NA	vacuolar atp synthase subunit d	Msex2.02545	FBgn0040377
DPOGS203865	DPOGS109012	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.02543	NA	hypothetical protein KGM_09012	NA	FBgn0038400
DPOGS203866	DPOGS112351	TRUE	TRUE	TRUE	NA	NA	NA	NA	seminal fluid protein hacp020	Msex2.01758	NA
DPOGS203867	DPOGS112353	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12353	Msex2.01760	FBgn0263776
DPOGS203869	DPOGS113140	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	NA	NA	NA
DPOGS203910	NA	FALSE	TRUE	TRUE	NA	NA	NA	NA	v-type proton atpase 116 kda subunit a isoform 1-like	Msex2.09122	FBgn0028670
DPOGS203917	DPOGS118588	FALSE	TRUE	TRUE	Tissue factor pathway inhibitor	NA	NA	NA	tissue factor pathway inhibitor	Msex2.13402	FBgn0031562
DPOGS203921	DPOGS118591	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.10427	NA	hypothetical protein KGM_18591	NA	NA
DPOGS203928	DPOGS118599	FALSE	TRUE	FALSE	"Stretchin-Mlck, isoform A"	NA	NA	NA	stretchin- isoform a	Msex2.02841	FBgn0265045
DPOGS203932	DPOGS118604	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08258	FBgn0062517	hypothetical protein KGM_18604	NA	NA
DPOGS203958	DPOGS118621	FALSE	TRUE	FALSE	Putative laminin A chain	NA	NA	NA	laminin a chain	Msex2.02093	FBgn0002526
DPOGS203971	DPOGS118636	TRUE	TRUE	TRUE	"Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 1.10.2.2)"	NA	NA	NA	ubiquinol-cytochrome c reductase	Msex2.00292	FBgn0021906
DPOGS203973	DPOGS118638	TRUE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_18638	Msex2.09124	NA
DPOGS203983	DPOGS118650	TRUE	TRUE	TRUE	NADH dehydrogenase 1 alpha subcomplex 12	NA	NA	NA	nadh dehydrogenase 1 alpha subcomplex 12	Msex2.02159	FBgn0031436
DPOGS203997	DPOGS118664	TRUE	TRUE	TRUE	NADH-ubiquinone oxidoreductase fe-s protein 2	NA	NA	NA	nadh-ubiquinone oxidoreductase fe-s protein 2	Msex2.01935	FBgn0039909
DPOGS204043	DPOGS101098	FALSE	TRUE	FALSE	Uncharacterized protein	1	Msex2.00844	NA	hypothetical protein KGM_01098	NA	NA
DPOGS204049	DPOGS102444	TRUE	TRUE	TRUE	Putative carboxypeptidase A-like protein	NA	NA	NA	carboxypeptidase a-like protein	Msex2.07777	FBgn0032144
DPOGS204063	DPOGS106765	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_06765	Msex2.08042	NA
DPOGS204064	DPOGS106765	FALSE	FALSE	TRUE	Uncharacterized protein	1	Msex2.08042	NA	hypothetical protein KGM_06765	NA	NA
DPOGS204137	DPOGS108943	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.12129	FBgn0023212	hypothetical protein KGM_08943	NA	NA
DPOGS204147	DPOGS104696	TRUE	TRUE	TRUE	Hemolymph proteinase 8	NA	NA	NA	hemolymph proteinase 8	Msex2.13599	FBgn0000533
DPOGS204174	DPOGS101435	TRUE	TRUE	TRUE	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	1	Msex2.12441	FBgn0032229	hypothetical protein KGM_01435	NA	NA
DPOGS204244	DPOGS110406	TRUE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10406	Msex2.06230	FBgn0002431
DPOGS204260	DPOGS111882	TRUE	TRUE	TRUE	Putative glutamine rich 2-like protein	1	Msex2.07054	NA	glutamine rich 2-like protein	NA	NA
DPOGS204262	DPOGS111882	TRUE	TRUE	TRUE	Putative glutamine rich 2-like protein	NA	NA	NA	hypothetical protein KGM_01184	NA	NA
DPOGS204263	DPOGS101184	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01184	NA	NA
DPOGS204284	DPOGS113977	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07047	NA	hypothetical protein KGM_13977	NA	FBgn0037276
DPOGS204316	DPOGS115888	FALSE	TRUE	TRUE	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	1	Msex2.11931	NA	nadph-specific isocitrate dehydrogenase	NA	FBgn0001248
DPOGS204324	DPOGS110923	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.02709	NA	hypothetical protein KGM_10923	NA	FBgn0036195
DPOGS204330	DPOGS103188	FALSE	TRUE	TRUE	Carboxypeptidase B	1	Msex2.03577	NA	carboxypeptidase b	NA	FBgn0039073
DPOGS204357	DPOGS122692	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.02786	NA	hypothetical protein KGM_22692	NA	FBgn0034454
DPOGS204394	NA	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS204410	DPOGS116772	FALSE	TRUE	TRUE	NA	NA	NA	NA	arginase	Msex2.06835	FBgn0023535
DPOGS204433	DPOGS102976	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08978	NA	hypothetical protein KGM_02976	NA	NA
DPOGS204469	DPOGS104009	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06846	NA	hypothetical protein KGM_04009	NA	FBgn0050093
DPOGS204492	DPOGS116850	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.03322	NA	hypothetical protein KGM_16850	NA	NA
DPOGS204493	NA	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS204506	DPOGS103002	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_03002	Msex2.13363	NA
DPOGS204522	DPOGS121865	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_08508	Msex2.09375	FBgn0038296
DPOGS204553	NA	FALSE	TRUE	TRUE	NA	1	Msex2.09390	NA	protein fam183a-like	NA	NA
DPOGS204593	NA	FALSE	TRUE	TRUE	NA	NA	NA	NA	dynein beta ciliary-like	NA	NA
DPOGS204676	DPOGS113688	FALSE	TRUE	TRUE	V-type proton ATPase subunit E	1	Msex2.09308	FBgn0015324	v-type proton atpase subunit e	NA	NA
DPOGS204677	DPOGS118765	FALSE	TRUE	TRUE	NA	1	Msex2.09305	NA	mitochondrial glutamate carrier 1-like	NA	FBgn0260743
DPOGS204680	DPOGS106846	FALSE	TRUE	TRUE	Putative anterior fat body protein	1	Msex2.09301	NA	anterior fat body protein	NA	FBgn0038257
DPOGS204704	DPOGS102664	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_02664	NA	NA
DPOGS204739	DPOGS111624	FALSE	TRUE	FALSE	Troponin T transcript variant B	NA	NA	NA	troponin t transcript variant b	Msex2.03994	FBgn0004169
DPOGS204774	DPOGS116748	TRUE	TRUE	TRUE	Organic cation transporter	1	Msex2.03980	NA	organic cation transporter	NA	FBgn0034479
DPOGS204885	DPOGS107532	TRUE	TRUE	TRUE	Ubiquinol-cytochrome c reductase core protein II	1	Msex2.10324	FBgn0250814	ubiquinol-cytochrome c reductase core protein ii	NA	NA
DPOGS204918	DPOGS105361	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05361	Msex2.10967	NA
DPOGS204978	DPOGS103618	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_03618	Msex2.08277	FBgn0034692
DPOGS204999	NA	TRUE	TRUE	TRUE	NA	1	Msex2.08281	NA	cytochrome c subunit vb	NA	FBgn0031830
DPOGS205037	DPOGS112859	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12859	Msex2.12545	NA
DPOGS205065	DPOGS101750	TRUE	FALSE	FALSE	Kinesin heavy chain	NA	NA	FBgn0001308	kinesin heavy chain	Msex2.04977	NA
DPOGS205125	DPOGS116874	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_16874	Msex2.07670	NA
DPOGS205126	DPOGS116875	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_16875	Msex2.07670	FBgn0030889
DPOGS205137	DPOGS120265	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_20265	Msex2.13700	FBgn0034688
DPOGS205202	DPOGS119957	FALSE	TRUE	TRUE	Putative vacuolar ATP synthase subunit S1	NA	NA	NA	vacuolar atp synthase subunit s1	Msex2.09814	NA
DPOGS205203	DPOGS106262	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_06262	NA	NA
DPOGS205211	DPOGS114116	TRUE	TRUE	TRUE	ADP/ATP tranlocase	1	Msex2.14995	FBgn0003360	adp atp tranlocase	NA	NA
DPOGS205217	DPOGS106757	TRUE	TRUE	TRUE	Uncharacterized protein	0.333	Msex2.14077	NA	hypothetical protein KGM_06757	NA	NA
DPOGS205225	DPOGS103814	TRUE	TRUE	TRUE	Putative ubx domain-containing protein	NA	NA	NA	ubx domain-containing protein	Msex2.14321	FBgn0028372
DPOGS205229	DPOGS114114	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14113	Msex2.10665	NA
DPOGS205233	DPOGS121570	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21570	Msex2.09810	NA
DPOGS205238	DPOGS106261	TRUE	TRUE	FALSE	Heat shock protein 70	1	Msex2.09813	NA	heat shock protein 70	NA	FBgn0001220
DPOGS205244	DPOGS116714	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_16712	Msex2.10658	FBgn0020309
DPOGS205330	DPOGS117008	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	FBgn0036454	hypothetical protein KGM_17008	Msex2.12518	NA
DPOGS205340	DPOGS102235	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06951	NA	hypothetical protein KGM_02235	NA	FBgn0034518
DPOGS205390	DPOGS100475	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	PREDICTED: uncharacterized protein LOC101745971	NA	NA
DPOGS205423	DPOGS100480	TRUE	TRUE	TRUE	NADH dehydrogenase 1 alpha subcomplex 13	1	Msex2.02848	FBgn0029868	nadh dehydrogenase 1 alpha subcomplex 13	NA	NA
DPOGS205435	DPOGS122247	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_22247	Msex2.03518	NA
DPOGS205439	DPOGS122249	TRUE	TRUE	TRUE	Odorant-binding protein 2	1	Msex2.03519	NA	odorant-binding protein 2	NA	FBgn0011280
DPOGS205447	DPOGS101577	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01577	Msex2.03522	FBgn0002174
DPOGS205492	DPOGS110642	FALSE	FALSE	TRUE	26S proteasome non-ATPase regulatory subunit 1	1	Msex2.11418	FBgn0028692	26s proteasome non-atpase regulatory subunit 1	NA	NA
DPOGS205498	DPOGS120124	FALSE	TRUE	TRUE	Actin-depolymerizing factor 1	1	Msex2.09592	NA	actin-depolymerizing factor 1	NA	FBgn0011726
DPOGS205518	DPOGS112339	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12339	Msex2.13030	FBgn0040505
DPOGS205536	DPOGS105734	FALSE	TRUE	TRUE	LRP16 protein	NA	NA	NA	lrp16 protein	Msex2.09598	FBgn0042135
DPOGS205547	DPOGS104391	FALSE	TRUE	TRUE	Small heat shock protein	1	Msex2.00975	NA	small heat shock protein	NA	FBgn0011296
DPOGS205558	NA	FALSE	TRUE	TRUE	NA	NA	NA	NA	ecdysteroid-inducible angiotensin-converting enzyme	Msex2.07568	FBgn0012037
DPOGS205570	NA	FALSE	TRUE	TRUE	NA	1	Msex2.02883	FBgn0035799	wd repeat-containing protein 63-like	NA	NA
DPOGS205583	DPOGS107659	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_07659	Msex2.03872	FBgn0031244
DPOGS205585	DPOGS117765	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS205592	DPOGS117909	FALSE	TRUE	TRUE	Isochorismatase domain containing protein	0.25	Msex2.02540	NA	isochorismatase domain containing protein	NA	FBgn0035044
DPOGS205593	DPOGS109629	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_09629	Msex2.13684	FBgn0030359
DPOGS205606	DPOGS112262	TRUE	TRUE	TRUE	"Cytochrome b-c1 complex subunit 2, mitochondrial"	1	Msex2.07558	NA	cytochrome b-c1 complex subunit mitochondrial	NA	NA
DPOGS205708	DPOGS106159	FALSE	TRUE	FALSE	Uncharacterized protein	1	Msex2.08627	NA	hypothetical protein KGM_06159	NA	FBgn0015286
DPOGS205797	DPOGS120554	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.09544	FBgn0083960	hypothetical protein KGM_20554	NA	NA
DPOGS205809	DPOGS122003	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS205815	DPOGS122009	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.02667	NA	hypothetical protein KGM_22009	NA	FBgn0028903
DPOGS205955	DPOGS113538	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	FBgn0039959	hypothetical protein KGM_13538	Msex2.11336	NA
DPOGS205984	DPOGS105463	FALSE	TRUE	TRUE	40S ribosomal protein S16	1	Msex2.10562	NA	40s ribosomal protein s16	NA	FBgn0034743
DPOGS205989	DPOGS115715	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.10570	FBgn0036214	hypothetical protein KGM_15715	NA	NA
DPOGS206001	DPOGS107332	FALSE	TRUE	FALSE	Acetyltransferase 1	NA	NA	NA	acetyltransferase 1	Msex2.11605	FBgn0040064
DPOGS206023	DPOGS121736	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS206035	DPOGS110867	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.04782	NA	hypothetical protein KGM_10867	NA	NA
DPOGS206036	DPOGS110868	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10868	Msex2.04783	NA
DPOGS206037	NA	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	Msex2.04783	NA
DPOGS206039	DPOGS110870	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.04785	NA	hypothetical protein KGM_10870	NA	NA
DPOGS206045	DPOGS110876	FALSE	TRUE	TRUE	Angiopoietin-like 1	0.104	Msex2.05990	FBgn0050281	angiopoietin-like 1 precursor	NA	FBgn0030163
DPOGS206069	DPOGS101724	TRUE	TRUE	TRUE	Serine/threonine-protein phosphatase (EC 3.1.3.16)	0.5	Msex2.10022	NA	calcineurin a	NA	FBgn0030758
DPOGS206074	DPOGS101730	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01730	Msex2.09193	FBgn0053196
DPOGS206077	DPOGS111152	TRUE	TRUE	TRUE	Putative mitochondrial NADH:ubiquinone oxidoreductase ESSS subunit	NA	NA	NA	mitochondrial nadh:ubiquinone oxidoreductase esss subunit	Msex2.09188	FBgn0027785
DPOGS206096	DPOGS111143	TRUE	TRUE	TRUE	4-aminobutyrate aminotransferase	1	Msex2.09179	NA	4-aminobutyrate aminotransferase	NA	FBgn0036927
DPOGS206112	DPOGS107604	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_07604	Msex2.10030	FBgn0011785
DPOGS206121	DPOGS107611	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_07611	Msex2.01407	NA
DPOGS206137	DPOGS110899	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.09094	NA	hypothetical protein KGM_10899	NA	NA
DPOGS206139	DPOGS110901	TRUE	TRUE	TRUE	Putative sperm associated antigen 17	1	Msex2.09092	NA	sperm associated antigen 17	NA	NA
DPOGS206192	DPOGS118432	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13591	FBgn0019960	hypothetical protein KGM_18432	NA	NA
DPOGS206193	DPOGS118432	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13590	NA	hypothetical protein KGM_18432	NA	NA
DPOGS206257	DPOGS106911	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00727	NA	hypothetical protein KGM_06911	NA	FBgn0025839
DPOGS206266	DPOGS100544	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00544	NA	NA
DPOGS206317	DPOGS103973	FALSE	TRUE	FALSE	Protein kinase C (EC 2.7.11.13)	NA	NA	NA	protein kinase c1	Msex2.04738	FBgn0003091
DPOGS206343	DPOGS103293	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_03293	Msex2.00087	NA
DPOGS206344	DPOGS103294	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.04745	NA	hypothetical protein KGM_03294	NA	NA
DPOGS206365	DPOGS108594	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08678	NA	hypothetical protein KGM_08594	NA	FBgn0264695
DPOGS206401	DPOGS100601	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00601	Msex2.00948	FBgn0031286
DPOGS206415	DPOGS114621	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_09530	Msex2.12953	FBgn0002774
DPOGS206471	DPOGS118356	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS206517	DPOGS101700	TRUE	TRUE	TRUE	Testis specific tektin	0.2	Msex2.09579	FBgn0028902	testis specific tektin	Msex2.09578	NA
DPOGS206518	DPOGS101701	TRUE	TRUE	TRUE	Testis specific tektin	NA	NA	NA	testis specific tektin	NA	NA
DPOGS206535	DPOGS103021	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07147	NA	hypothetical protein KGM_03021	NA	FBgn0000299
DPOGS206549	DPOGS103034	FALSE	TRUE	TRUE	Putative collagen alpha-2IV chain protein	NA	NA	NA	collagen alpha-2iv chain protein	Msex2.07146	FBgn0016075
DPOGS206625	DPOGS111950	FALSE	FALSE	TRUE	Shaggy	1	Msex2.00524	FBgn0046332	glycogen synthase kinase-3 beta isoform x1	NA	FBgn0003371
DPOGS206636	DPOGS119147	FALSE	TRUE	FALSE	Putative deoxyribonuclease ii	NA	NA	NA	deoxyribonuclease ii	Msex2.00513	FBgn0000477
DPOGS206670	DPOGS110448	TRUE	TRUE	TRUE	Serine/threonine-protein phosphatase (EC 3.1.3.16)	0.167	Msex2.00519	FBgn0003134	protein phosphatase catalytic beta isoform 1	NA	FBgn0000711
DPOGS206681	DPOGS100530	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00530	NA	NA
DPOGS206704	DPOGS104171	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS206797	DPOGS115206	TRUE	TRUE	TRUE	Leucyl aminopeptidase-like protein	NA	NA	NA	projectin-like protein	Msex2.11628	FBgn0035410
DPOGS206801	DPOGS115369	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS206805	DPOGS115373	FALSE	TRUE	FALSE	Uncharacterized protein	1	Msex2.11880	NA	hypothetical protein KGM_15373	NA	FBgn0034661
DPOGS206819	DPOGS115387	TRUE	TRUE	TRUE	Uncharacterized protein	0.5	Msex2.09886	FBgn0026141	dynein light chain cytoplasmic-like isoform x2	NA	NA
DPOGS206858	DPOGS115428	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_15428	Msex2.03596	FBgn0034535
DPOGS206873	NA	TRUE	TRUE	TRUE	NA	NA	NA	NA	PREDICTED: uncharacterized protein LOC101745475 isoform X2	NA	NA
DPOGS206930	DPOGS115507	TRUE	TRUE	TRUE	High choriolytic enzyme 1	NA	NA	NA	high choriolytic enzyme 1	Msex2.05067	FBgn0030947
DPOGS206959	DPOGS119830	TRUE	TRUE	TRUE	Fructose-bisphosphate aldolase (EC 4.1.2.13)	NA	NA	NA	fructose -bisphosphate aldolase	Msex2.12780	FBgn0000064
DPOGS207000	DPOGS115549	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_15549	Msex2.05082	FBgn0026059
DPOGS207006	DPOGS115555	TRUE	TRUE	TRUE	NAS-15 protein	1	Msex2.05068	NA	nas-15 protein	NA	FBgn0030947
DPOGS207070	DPOGS115622	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13576	NA	hypothetical protein KGM_15622	NA	FBgn0030038
DPOGS207099	DPOGS115415	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	PREDICTED: ataxin-2-like protein-like	Msex2.01566	FBgn0041188
DPOGS207101	DPOGS115654	TRUE	TRUE	TRUE	Malate dehydrogenase (EC 1.1.1.37)	1	Msex2.01570	NA	mitochondrial malate dehydrogenase	NA	FBgn0262559
DPOGS207155	DPOGS115706	FALSE	TRUE	FALSE	Miniparamyosin	NA	NA	NA	miniparamyosin	Msex2.01383	FBgn0003149
DPOGS207167	DPOGS115157	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS207168	DPOGS115158	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_15158	Msex2.09948	NA
